                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3518,                 1.4118,                 1.5158,                0.73786,                0.78433,                0.80545,                 0.5844,                   1.02,                 1.2761,                 1.4116,             0.00078022,             0.00078022,             0.00078022
                     35,                 1.2918,                 1.3012,                 1.4322,                0.76026,                0.79273,                0.82335,                0.58986,                 1.0834,                 1.2947,                 1.4297,             0.00077857,             0.00077857,             0.00077857
                     36,                 1.2941,                 1.3235,                 1.4686,                0.80506,                0.80069,                0.87236,                0.64422,                0.98774,                 1.1472,                 1.3796,             0.00077692,             0.00077692,             0.00077692
                     37,                 1.3235,                 1.3123,                 1.5215,                0.84357,                0.82185,                0.88225,                0.64989,                0.97188,                 1.1213,                 1.3603,             0.00077527,             0.00077527,             0.00077527
                     38,                 1.2997,                 1.3102,                 1.4782,                0.84667,                0.79989,                0.86432,                0.65749,                0.91833,                 1.1413,                 1.3288,             0.00077362,             0.00077362,             0.00077362
                     39,                 1.3031,                 1.2934,                 1.4732,                0.82858,                0.83573,                0.86107,                0.65223,                0.93943,                 1.1095,                 1.3444,             0.00077197,             0.00077197,             0.00077197
                     40,                 1.2121,                 1.2294,                 1.4641,                0.76776,                0.82295,                0.85111,                0.64719,                 0.9166,                 1.2268,                 1.3363,             0.00077033,             0.00077033,             0.00077033
                     41,                 1.1871,                 1.2016,                 1.4149,                0.75178,                0.83437,                0.81832,                0.60183,                0.95272,                 1.1931,                 1.3568,             0.00076868,             0.00076868,             0.00076868
                     42,                   1.16,                 1.1696,                 1.3668,                0.81714,                0.81822,                 0.8477,                0.64289,                0.91809,                 1.1483,                 1.3263,             0.00076703,             0.00076703,             0.00076703
                     43,                 1.2026,                 1.1962,                 1.4164,                 0.7767,                0.84262,                0.85549,                0.66607,                0.85136,                 1.0952,                 1.2634,             0.00076538,             0.00076538,             0.00076538
                     44,                 1.1452,                 1.1092,                 1.3361,                0.84664,                0.86474,                0.90833,                0.69856,                0.88059,                 1.0028,                 1.2737,             0.00076373,             0.00076373,             0.00076373
                     45,                 1.1707,                 1.1437,                 1.3622,                0.87195,                 0.8624,                0.90397,                0.71074,                0.83419,                0.97499,                 1.2617,             0.00076208,             0.00076208,             0.00076208
                     46,                 1.1931,                 1.1216,                 1.3967,                 0.8549,                0.86036,                0.91806,                0.73179,                0.81329,                0.97204,                 1.2399,             0.00076043,             0.00076043,             0.00076043
                     47,                 1.0939,                 1.1235,                 1.3539,                0.79476,                0.81854,                0.89317,                0.71511,                0.80788,                 1.1266,                 1.2188,             0.00075878,             0.00075878,             0.00075878
                     48,                 1.1683,                 1.1817,                 1.3899,                 0.8505,                0.87527,                0.89685,                0.71899,                0.80908,                0.95144,                 1.2074,             0.00075713,             0.00075713,             0.00075713
                     49,                 1.0466,                 1.0604,                  1.244,                0.83369,                0.84268,                0.89965,                0.71947,                0.77271,                   1.02,                 1.1801,             0.00075548,             0.00075548,             0.00075548
